,Ratio,QoM-pre,QoM-post
74.0,0.5802469135802469,0.07175322536733342,0.07165557375933157
74.1,0.5925925925925926,0.07199175431084649,0.07558134633640204
74.2,0.575,0.07428089907836821,0.07249433106808499
74.3,0.5555555555555556,0.07307155374141829,0.07671402819303369
74.4,0.5432098765432098,0.07292311289154177,0.07574700443118282
74.5,0.5432098765432098,0.07576045485810537,0.07200488727607793
74.6,0.5185185185185185,0.07664934518813003,0.07276285083661937
74.7,0.525,0.07844168411257671,0.07261335655888096
74.8,0.525,0.07957216951965218,0.07316246028627424
74.9,0.5375,0.08097435647446147,0.07085700992623492
75.0,0.5061728395061729,0.08008616849887779,0.07208400580836807
75.1,0.5,0.0752305085398855,0.07033863697378329
75.2,0.5,0.0754342304534949,0.074626511541033
75.3,0.5487804878048781,0.07821057853476357,0.07356063005463283
75.4,0.573170731707317,0.07401027239186819,0.07510621689112969
75.5,0.5,0.07550958394857818,0.0729291721340735
75.6,0.49382716049382713,0.07933044913181883,0.07671491885107957
75.7,0.5185185185185185,0.07753501195317082,0.07463975762148178
75.8,0.5061728395061729,0.07816426411756885,0.07441170072436244
75.9,0.49382716049382713,0.07908505676417131,0.07715211195676816
76.0,0.48148148148148145,0.07916102775962802,0.0784429931141019
76.1,0.4691358024691358,0.07926023054632428,0.07720280903893982
76.2,0.5061728395061729,0.07813893688264913,0.07949759947892876
76.3,0.5061728395061729,0.07849919468206056,0.07874767500572094
76.4,0.48148148148148145,0.07718394600231596,0.07900602712778301
76.5,0.5185185185185185,0.07626254843789242,0.07819236168381162
76.6,0.43209876543209874,0.07713810668856153,0.07896924108432701
76.7,0.4444444444444444,0.07414309123493469,0.07711189067693343
76.8,0.4444444444444444,0.07470874189005086,0.07478063467443787
76.9,0.41975308641975306,0.07437983639312185,0.07512831758312728
77.0,0.37037037037037035,0.07165557375933157,0.07491675388481536
77.1,0.41975308641975306,0.07558134633640204,0.07767153859523293
77.2,0.425,0.07249433106808499,0.07920278460723314
77.3,0.43209876543209874,0.07671402819303369,0.07956562144710003
77.4,0.4074074074074074,0.07574700443118282,0.08054927706925895
77.5,0.41975308641975306,0.07200488727607793,0.07656897360982338
77.6,0.4074074074074074,0.07276285083661937,0.0812074752076376
77.7,0.4444444444444444,0.07261335655888096,0.08068440387554052
77.8,0.4567901234567901,0.07316246028627424,0.07927053982714444
77.9,0.4567901234567901,0.07085700992623492,0.07756861057414083
78.0,0.48148148148148145,0.07208400580836807,0.0763076409909809
78.1,0.4875,0.07033863697378329,0.07462893166762051
78.2,0.5125,0.074626511541033,0.07342614001972364
78.3,0.5925925925925926,0.07356063005463283,0.07295798039553424
78.4,0.5925925925925926,0.07510621689112969,0.07012002526427209
78.5,0.5925925925925926,0.0729291721340735,0.0726072129333919
78.6,0.5802469135802469,0.07671491885107957,0.06888462731234227
78.7,0.6419753086419753,0.07463975762148178,0.07178413717561813
78.8,0.5679012345679012,0.07441170072436244,0.07028307483054888
78.9,0.5679012345679012,0.07715211195676816,0.07215403054692132
79.0,0.6049382716049383,0.0784429931141019,0.07365165576269053
79.1,0.6419753086419753,0.07720280903893982,0.07280398244025374
79.2,0.6296296296296297,0.07949759947892876,0.07312360532818728
79.3,0.6049382716049383,0.07874767500572094,0.0707570342535551
